product_1,product_2,product_3,product_4
90,610,204,153
94,685,244,147
0,649,197,0
110,667,0,0
106,663,228,0
102,663,201,156
94,681,215,0
154,671,170,0
108,653,219,0
74,631,189,0
80,663,238,0
152,707,231,0
102,650,0,0
90,692,165,0
64,649,208,156
50,684,166,0
0,699,193,0
94,633,0,0
126,658,260,144
16,636,205,0
86,655,245,0
102,590,201,156
0,660,223,0
84,672,0,0
124,601,231,147
196,658,0,0
102,659,0,0
0,636,262,0
66,647,181,150
106,602,231,147
0,589,0,0
74,640,0,0
100,605,187,0
50,644,0,147
152,653,0,0
82,651,0,150
0,637,0,0
140,633,212,0
84,621,221,0
156,684,122,0
86,671,217,0
0,615,0,0
180,647,0,0
10,631,0,0
52,658,193,0
84,615,0,0
0,689,159,0
0,649,170,0
68,690,0,0
68,636,187,0
62,612,0,0
118,624,0,0
120,657,148,147
0,603,266,0
66,586,247,153
68,646,211,0
66,668,204,0
100,641,254,0
0,651,0,0
86,701,131,0
134,671,170,0
118,703,196,0
0,638,221,0
106,660,213,0
88,659,167,150
76,658,187,0
0,676,234,0
84,658,174,0
0,670,0,147
50,654,257,0
0,641,233,0
0,666,191,0
56,666,184,153
88,633,0,147
0,649,187,0
0,659,0,144
82,640,150,0
0,589,0,150
56,608,182,0
0,660,200,0
0,620,0,0
112,686,0,0
104,659,226,0
170,577,0,0
0,711,0,0
0,624,221,0
84,660,0,147
162,608,192,0
0,696,263,0
144,673,241,150
0,602,0,0
60,647,208,0
146,670,149,0
68,653,181,0
194,644,215,0
0,644,241,0
128,631,213,156
0,660,0,156
82,689,0,153
126,659,156,0
114,621,208,0
100,610,202,0
108,653,110,0
180,671,223,153
86,623,0,153
0,640,0,0
102,672,181,0
124,636,211,147
114,607,194,0
142,633,0,0
108,620,215,0
118,653,0,150
70,623,0,0
102,631,255,0
76,663,204,0
110,686,163,0
0,706,175,0
124,627,220,0
170,628,181,144
76,598,175,0
168,647,230,150
102,623,187,0
78,654,227,0
150,627,181,0
54,666,195,0
138,660,174,0
0,628,240,0
0,672,182,0
0,718,0,0
106,625,0,0
154,618,218,0
112,686,133,0
130,638,180,0
100,636,204,0
92,662,0,0
86,658,154,156
124,655,0,0
98,637,218,0
104,636,253,144
108,657,200,0
0,667,190,0
40,663,189,0
72,608,198,0
90,655,194,0
178,710,0,147
150,664,222,0
120,627,0,0
0,667,212,0
0,681,172,0
78,631,194,0
126,654,163,0
134,608,223,150
80,689,221,0
110,644,254,0
132,649,179,150
52,667,190,0
76,641,0,0
104,651,207,0
164,640,201,0
26,658,217,0
74,689,0,150
0,637,0,0
132,615,0,150
0,621,183,150
0,668,203,0
114,618,135,0
84,693,201,0
104,657,157,0
104,649,0,0
164,615,0,0
96,645,225,0
78,677,150,0
152,595,0,150
118,671,177,0
